age,sex,s,v,rs,rv,dead,vrs,sv,n
73,male,0.0439631596592677,0.01108151807469574,0.39797333319999995,0.0,0,0,0.0005158388196638463,0.5464661502463728
74,female,0.03674270047120044,0.00925260300565055,0.35690666680000005,0.0,0,0,0.000356489550685396,0.5967415401724636
74,male,0.0400334815203387,0.010034974954610846,0.4061866666,0.0,0,0,0.0004230978526135893,0.5433217790724368
75,female,0.03445641163374735,0.00810774145204307,0.36412352950000004,0.0,0,0,0.0002918721574385758,0.5930204452567709
75,male,0.03645246760126403,0.008679361082661164,0.4144,0.0,0,0,0.0003314530731177689,0.5401367182429571
76,female,0.031924998559610694,0.006265726308220656,0.37134039220000004,0.0,0,0,0.00020802105084187172,0.5902608618813268
76,male,0.03319162431620185,0.006553006221084593,0.42261333339999996,0.0,0,0,0.0002265608267954176,0.5374154752359181
77,female,0.02954834942949211,0.0052315638717929675,0.37855725490000003,0.0,0,0,0.00016018080991985398,0.5865026509887951
77,male,0.03018273351308107,0.005366574867718399,0.43082666680000004,0.0,0,0,0.00016797760320284602,0.5334560472159977
78,female,0.027338993176171982,0.004348479526957919,0.3857741176,0.0,0,0,0.0001227890024156302,0.5824156206944544
78,male,0.02743322349105215,0.00435997320897937,0.4390400002,0.0,0,0,0.00012355148096218993,0.5290432516190062
79,female,0.02528628245141225,0.0036180983811170894,0.3929909803,0.0,0,0,9.422052092761921e-05,0.5780104183465431
79,male,0.024922689350949042,0.0035357730172958235,0.44725333359999997,0.0,0,0,9.071068764513123e-05,0.52419749334411
80,female,0.023380102167233713,0.0030418416616605974,0.400207843,0.0,0,0,7.305413806570151e-05,0.57329715903304
80,male,0.022632020726526408,0.0028961617744830974,0.455466667,0.0,0,0,6.726774143633026e-05,0.5189378827575541
81,female,0.022133519013698914,0.00339386238068813,0.400207843,0.0,0,0,7.709201805955594e-05,0.5741876835875535
81,male,0.021935331737024322,0.003381737920031656,0.455466667,0.0,0,0,7.611227599525513e-05,0.5191401510669488
82,female,0.020968174407743092,0.0029930360554366047,0.400207843,0.0,0,0,6.4303424845737e-05,0.5757666431119746
82,male,0.021279670500690497,0.0029490478748145756,0.455466667,0.0,0,0,6.431722777095966e-05,0.520240297396724
83,female,0.019861082754931276,0.002681147065270239,0.400207843,0.0,0,0,5.4481588473290465e-05,0.5771954455913253
83,male,0.020640914300184776,0.002622736345962684,0.455466667,0.0,0,0,5.542821097155014e-05,0.521214254142881
84,female,0.018809569365841192,0.0024585700832388062,0.400207843,0.0,0,0,4.7251835892443e-05,0.5784767657150276
84,male,0.020018734371634598,0.002403036967501181,0.455466667,0.0,0,0,4.921159157182796e-05,0.5220623500692925
85,female,0.017812835901777575,0.0022280575088035413,0.400207843,0.0,0,0,4.0501346307425686e-05,0.5797107622431115
85,male,0.019414841826830904,0.0021874341263515293,0.455466667,0.0,0,0,4.340828970214324e-05,0.5228876487571155
86,female,0.016871141336568814,0.0018143132427191708,0.400207843,0.0,0,0,3.1193370480371415e-05,0.5810755090502316
86,male,0.018832243751651347,0.0017929415850218796,0.455466667,0.0,0,0,3.447740451099264e-05,0.5238736702588158
87,female,0.01597570492131275,0.0015656405839959869,0.400207843,0.0,0,0,2.5459453232029813e-05,0.5822253520414593
87,male,0.018263858399086987,0.0015552863808601387,0.455466667,0.0,0,0,2.8980743668151233e-05,0.5246852074763848
88,female,0.015126718741168202,0.0013382139700963884,0.400207843,0.0,0,0,2.0582092735640856e-05,0.5833066421959998
88,male,0.01771194555185513,0.0013376007453034908,0.455466667,0.0,0,0,2.415218302764382e-05,0.5254596345198137
89,female,0.014321868781815279,0.001132125751442355,0.400207843,0.0,0,0,1.6468938569226406e-05,0.5843216935281732
89,male,0.017176058672386176,0.0011399311618139469,0.455466667,0.0,0,0,1.9945239127460806e-05,0.5261973979266724
90,female,0.013558947216551265,0.0009474600844367308,0.400207843,0.0,0,0,1.3035834329941853e-05,0.585272713864682
90,male,0.016655761773999307,0.0009623216212175154,0.455466667,0.0,0,0,1.6315921141592797e-05,0.5268989336836416
91,female,0.01283584844587354,0.0007842935619144495,0.400207843,0.0,0,0,1.0206187182853551e-05,0.5861618088050291
91,male,0.016150629257515228,0.0008048137341519244,0.455466667,0.0,0,0,1.3222618432311993e-05,0.5275646673899006
92,female,0.012150565186470208,0.0006426958016487669,0.400207843,0.0,0,0,7.910379354705378e-06,0.5869909856325264
92,male,0.015660245744999662,0.0006674468392439284,0.455466667,0.0,0,0,1.0625992372863749e-05,0.5281950144233836
93,female,0.01150118462169688,0.0005227299951160384,0.400207843,0.0,0,0,6.085219369142179e-06,0.587762157163818
93,male,0.015184205911092348,0.0005502581071367352,0.455466667,0.0,0,0,8.488872320040384e-06,0.5287903801094509
94,female,0.010885884623727356,0.0004244534186747006,0.400207843,0.0,0,0,4.673430867727301e-06,0.5884771455267301
94,male,0.014722114312348593,0.00045328264048754424,0.455466667,0.0,0,0,6.776155616642518e-06,0.5293511598915472
95,female,0.010302930055871786,0.0003479179092570366,0.400207843,0.0,0,0,3.6231769181776497e-06,0.589137685857953
95,male,0.014273585214988475,0.0003765535700543932,0.455466667,0.0,0,0,5.454711504632346e-06,0.5298777395034525
96,female,0.009750669162034785,0.00029317030660795185,0.400207843,0.0,0,0,2.8876177755876582e-06,0.5897454299135817
96,male,0.013838242421427968,0.0003201021469904614,0.455466667,0.0,0,0,4.493288830830414e-06,0.5303704951427508
97,female,0.009227530048929443,0.00026025286403507145,0.400207843,0.0,0,0,2.4245001323324866e-06,0.5903019495869031
97,male,0.013415719095936765,0.0002839578314627223,0.455466667,0.0,0,0,3.862427428263613e-06,0.5308297936451722
98,female,0.008732017265455728,0.0002492036295604493,0.400207843,0.0,0,0,2.1957759663580002e-06,0.5908087403290174
98,male,0.013005657589745692,0.00026814837771038284,0.455466667,0.0,0,0,3.534373057724789e-06,0.5312559926594862
99,female,0.008262708482582396,0.00026005679928733526,0.400207843,0.0,0,0,2.1672491744145376e-06,0.5912672244689559
99,male,0.01260770926590414,0.0002726999156569315,0.455466667,0.0,0,0,3.482995795725487e-06,0.5316494408226432
100,female,0.007818609334293786,0.00024741688905291823,0.400207843,0.0,0,0,1.9501900858252243e-06,0.5917241805865675
100,male,0.0122220562516026,0.0002554662669618467,0.455466667,0.0,0,0,3.16178431709002e-06,0.5320526486971184
101,female,0.0073985951344545785,0.00018191566627632938,0.400207843,0.0,0,0,1.3562029135133264e-06,0.5922102899963555
101,male,0.011848662433545905,0.0001878256027339941,0.455466667,0.0,0,0,2.252600638011975e-06,0.5324945923630822
102,female,0.007000762304835258,0.00014784912328212632,0.400207843,0.0,0,0,1.0425101559184027e-06,0.5926425030617266
102,male,0.011486164911001443,0.00015264717669814397,0.455466667,0.0,0,0,1.773980821186586e-06,0.5328927469314793
103,female,0.006624127215466932,0.00012144803623739089,0.400207843,0.0,0,0,8.099514868311757e-07,0.5930457717968088
103,male,0.01113454286708685,0.00012538637267418807,0.455466667,0.0,0,0,1.412021194022867e-06,0.5332719917390449
104,female,0.006267578180313696,0.00010272297967074849,0.400207843,0.0,0,0,6.479523776262817e-07,0.593421207887638
104,male,0.010793480416313127,0.00010605262025533042,0.455466667,0.0,0,0,1.157292163316786e-06,0.5336326426712683
105,female,0.005930060085893783,9.168348375447305e-05,0.400207843,0.0,0,0,5.469826560297743e-07,0.5937698664476958
105,male,0.01046267029815864,9.46548032388464e-05,0.455466667,0.0,0,0,1.0009099317929759e-06,0.5339750069886707
106,female,0.0056103362192282905,0.00013006751689802564,0.400207843,0.0,0,0,7.339361293593756e-07,0.5940510193277443
106,male,0.010141372226311285,0.00013428318906413443,0.455466667,0.0,0,0,1.375956552693966e-06,0.5342563016280719
107,female,0.005307979406008174,0.00012709741253585702,0.400207843,0.0,0,0,6.783176167665413e-07,0.5943564018638392
107,male,0.009830267251924494,0.00013121816368336355,0.455466667,0.0,0,0,1.3028900349176527e-06,0.5345705446943572
108,female,0.005021814763261721,0.00012816044853427482,0.400207843,0.0,0,0,6.469301251425e-07,0.5946415348580789
108,male,0.009528573983481175,0.0001323179135448147,0.455466667,0.0,0,0,1.2731019496496655e-06,0.5348711680010243
109,female,0.004750984900580721,0.0001332601735917935,0.400207843,0.0,0,0,6.362249559728472e-07,0.5949072757008715
109,male,0.009236014511319487,0.00013758625642273863,0.455466667,0.0,0,0,1.2827745226392654e-06,0.535158449457735
