age,sex,n_s,s_rs,n_v,v_rv,rs_dead,rv_dead,s_dead,sv_dead,v_dead,n_dead,v_sv,s_sv,sv_s,sv_vrs,sv_rs,v_s,s_vrs,vrs_sv,vrs_s,vrs_rv,vrs_dead
0,female,0.0,0.0,0.0,0.0,0.003184917355981254,0.003184917355981254,0.003184917355981254,0.003184917355981254,0.003184917355981254,0.003184917355981254,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.003184917355981254
0,male,0.0,0.0,0.0,0.0,0.00446997976912944,0.00446997976912944,0.00446997976912944,0.00446997976912944,0.00446997976912944,0.00446997976912944,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.00446997976912944
1,female,0.0,0.0,0.0,0.0,0.00015998720068266525,0.00015998720068266525,0.00015998720068266525,0.00015998720068266525,0.00015998720068266525,0.00015998720068266525,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.00015998720068266525
1,male,0.0,0.0,0.0,0.0,0.00018998195114305894,0.00018998195114305894,0.00018998195114305894,0.00018998195114305894,0.00018998195114305894,0.00018998195114305894,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.00018998195114305894
2,female,0.0,0.0,0.0,0.0,0.00015998720068266525,0.00015998720068266525,0.00015998720068266525,0.00015998720068266525,0.00015998720068266525,0.00015998720068266525,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.00015998720068266525
2,male,0.0,0.0,0.0,0.0,0.00018998195114305894,0.00018998195114305894,0.00018998195114305894,0.00018998195114305894,0.00018998195114305894,0.00018998195114305894,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.00018998195114305894
3,female,0.0,0.0,0.0,0.0,0.00015998720068266525,0.00015998720068266525,0.00015998720068266525,0.00015998720068266525,0.00015998720068266525,0.00015998720068266525,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.00015998720068266525
3,male,0.0,0.0,0.0,0.0,0.00018998195114305894,0.00018998195114305894,0.00018998195114305894,0.00018998195114305894,0.00018998195114305894,0.00018998195114305894,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.00018998195114305894
4,female,0.0,0.0,0.0,0.0,0.00015998720068266525,0.00015998720068266525,0.00015998720068266525,0.00015998720068266525,0.00015998720068266525,0.00015998720068266525,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.00015998720068266525
4,male,0.0,0.0,0.0,0.0,0.00018998195114305894,0.00018998195114305894,0.00018998195114305894,0.00018998195114305894,0.00018998195114305894,0.00018998195114305894,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.00018998195114305894
5,female,0.0,0.0,0.0,0.0,5.999820003599332e-05,5.999820003599332e-05,5.999820003599332e-05,5.999820003599332e-05,5.999820003599332e-05,5.999820003599332e-05,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,5.999820003599332e-05
5,male,0.0,0.0,0.0,0.0,8.999595012149086e-05,8.999595012149086e-05,8.999595012149086e-05,8.999595012149086e-05,8.999595012149086e-05,8.999595012149086e-05,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,8.999595012149086e-05
6,female,0.0,0.0,0.0,0.0,5.999820003599332e-05,5.999820003599332e-05,5.999820003599332e-05,5.999820003599332e-05,5.999820003599332e-05,5.999820003599332e-05,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,5.999820003599332e-05
6,male,0.0,0.0,0.0,0.0,8.999595012149086e-05,8.999595012149086e-05,8.999595012149086e-05,8.999595012149086e-05,8.999595012149086e-05,8.999595012149086e-05,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,8.999595012149086e-05
7,female,0.0,0.0,0.0,0.0,5.999820003599332e-05,5.999820003599332e-05,5.999820003599332e-05,5.999820003599332e-05,5.999820003599332e-05,5.999820003599332e-05,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,5.999820003599332e-05
7,male,0.0,0.0,0.0,0.0,8.999595012149086e-05,8.999595012149086e-05,8.999595012149086e-05,8.999595012149086e-05,8.999595012149086e-05,8.999595012149086e-05,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,8.999595012149086e-05
8,female,0.0,0.0,0.0,0.0,5.999820003599332e-05,5.999820003599332e-05,5.999820003599332e-05,5.999820003599332e-05,5.999820003599332e-05,5.999820003599332e-05,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,5.999820003599332e-05
8,male,0.0,0.0,0.0,0.0,8.999595012149086e-05,8.999595012149086e-05,8.999595012149086e-05,8.999595012149086e-05,8.999595012149086e-05,8.999595012149086e-05,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,8.999595012149086e-05
9,female,0.0,0.0,0.0,0.0,5.999820003599332e-05,5.999820003599332e-05,5.999820003599332e-05,5.999820003599332e-05,5.999820003599332e-05,5.999820003599332e-05,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,5.999820003599332e-05
9,male,0.0,0.0,0.0,0.0,8.999595012149086e-05,8.999595012149086e-05,8.999595012149086e-05,8.999595012149086e-05,8.999595012149086e-05,8.999595012149086e-05,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,8.999595012149086e-05
10,female,0.0,0.0,0.0,0.0,0.00010999395022182057,0.00010999395022182057,0.00010999395022182057,0.00010999395022182057,0.00010999395022182057,0.00010999395022182057,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.00010999395022182057
10,male,0.0,0.0,0.0,0.0,0.00013999020045729615,0.00013999020045729615,0.00013999020045729615,0.00013999020045729615,0.00013999020045729615,0.00013999020045729615,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.00013999020045729615
11,female,0.0,0.0,0.0,0.0,0.00010999395022182057,0.00010999395022182057,0.00010999395022182057,0.00010999395022182057,0.00010999395022182057,0.00010999395022182057,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.00010999395022182057
11,male,0.0,0.0,0.0,0.0,0.00013999020045729615,0.00013999020045729615,0.00013999020045729615,0.00013999020045729615,0.00013999020045729615,0.00013999020045729615,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.00013999020045729615
12,female,0.0,0.0,0.0,0.0,0.00010999395022182057,0.00010999395022182057,0.00010999395022182057,0.00010999395022182057,0.00010999395022182057,0.00010999395022182057,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.00010999395022182057
12,male,0.0,0.0,0.0,0.0,0.00013999020045729615,0.00013999020045729615,0.00013999020045729615,0.00013999020045729615,0.00013999020045729615,0.00013999020045729615,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.00013999020045729615
13,female,0.0,0.0,0.0,0.0,0.00010999395022182057,0.00010999395022182057,0.00010999395022182057,0.00010999395022182057,0.00010999395022182057,0.00010999395022182057,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.00010999395022182057
13,male,0.0,0.0,0.0,0.0,0.00013999020045729615,0.00013999020045729615,0.00013999020045729615,0.00013999020045729615,0.00013999020045729615,0.00013999020045729615,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.00013999020045729615
14,female,0.0,0.0,0.0,0.0,0.00010999395022182057,0.00010999395022182057,0.00010999395022182057,0.00010999395022182057,0.00010999395022182057,0.00010999395022182057,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.00010999395022182057
14,male,0.0,0.0,0.0,0.0,0.00013999020045729615,0.00013999020045729615,0.00013999020045729615,0.00013999020045729615,0.00013999020045729615,0.00013999020045729615,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.00013999020045729615
15,female,0.00913193250986712,0.0,0.08345044893609543,0.0,0.0003002578299709098,0.0003002578299709098,0.0003002578299709098,0.0003002578299709098,0.0003002578299709098,0.0003002578299709098,0.00913193250986712,0.08345044893609543,0.0,0.0,0.0,0,0,0.00913193250986712,0,0.0,0.0003002578299709098
15,male,0.008918795946026873,0.0,0.07061882616883647,0.0,0.000470299958391546,0.000470299958391546,0.000470299958391546,0.000470299958391546,0.000470299958391546,0.000470299958391546,0.008918795946026873,0.07061882616883647,0.0,0.0,0.0,0,0,0.008918795946026873,0,0.0,0.000470299958391546
16,female,0.005362565183352277,0.0,0.04996905935565492,0.0,0.00030063865454632533,0.00030063865454632533,0.00030063865454632533,0.00030063865454632533,0.00030063865454632533,0.00030063865454632533,0.005362565183352277,0.04996905935565492,0.0,0.0,0.0,0,0,0.005362565183352277,0,0.0,0.00030063865454632533
16,male,0.005511865125094179,0.0,0.04716510726218865,0.0,0.0004708946606361817,0.0004708946606361817,0.0004708946606361817,0.0004708946606361817,0.0004708946606361817,0.0004708946606361817,0.005511865125094179,0.04716510726218865,0.0,0.0,0.0,0,0,0.005511865125094179,0,0.0,0.0004708946606361817
17,female,0.009001961577274639,0.0,0.0485492443611777,0.0,0.00030130885764680944,0.00030130885764680944,0.00030130885764680944,0.00030130885764680944,0.00030130885764680944,0.00030130885764680944,0.009001961577274639,0.0485492443611777,0.0,0.0,0.0,0,0,0.009001961577274639,0,0.0,0.00030130885764680944
17,male,0.009438781424898464,0.0,0.04575611211328762,0.0,0.00047197309653021475,0.00047197309653021475,0.00047197309653021475,0.00047197309653021475,0.00047197309653021475,0.00047197309653021475,0.009438781424898464,0.04575611211328762,0.0,0.0,0.0,0,0,0.009438781424898464,0,0.0,0.00047197309653021475
18,female,0.010944102578861772,0.0,0.06470272052878279,0.0,0.00030246964557714077,0.00030246964557714077,0.00030246964557714077,0.00030246964557714077,0.00030246964557714077,0.00030246964557714077,0.010944102578861772,0.06470272052878279,0.0,0.0,0.0,0,0,0.010944102578861772,0,0.0,0.00030246964557714077
18,male,0.012861097931383672,0.0,0.061856190665906134,0.0,0.00047398299399122745,0.00047398299399122745,0.00047398299399122745,0.00047398299399122745,0.00047398299399122745,0.00047398299399122745,0.012861097931383672,0.061856190665906134,0.0,0.0,0.0,0,0,0.012861097931383672,0,0.0,0.00047398299399122745
19,female,0.01680781693749947,0.0,0.08831671404610815,0.0,0.00030469700327647603,0.00030469700327647603,0.00030469700327647603,0.00030469700327647603,0.00030469700327647603,0.00030469700327647603,0.01680781693749947,0.08831671404610815,0.0,0.0,0.0,0,0,0.01680781693749947,0,0.0,0.00030469700327647603
19,male,0.020608173752053923,0.0,0.08685870872537724,0.0,0.00047799890430456476,0.00047799890430456476,0.00047799890430456476,0.00047799890430456476,0.00047799890430456476,0.00047799890430456476,0.020608173752053923,0.08685870872537724,0.0,0.0,0.0,0,0,0.020608173752053923,0,0.0,0.00047799890430456476
20,female,0.0038558517124796343,0.0,0.06235479910697774,0.0,0.00038728571699919034,0.00038728571699919034,0.00038728571699919034,0.00038728571699919034,0.00038728571699919034,0.00038728571699919034,0.0038558517124796343,0.06235479910697774,0.0,0.0,0.0,0,0,0.0038558517124796343,0,0.0,0.00038728571699919034
20,male,0.0054814261719338675,0.0,0.0625508948699464,0.0,0.0006843129931091896,0.0006843129931091896,0.0006843129931091896,0.0006843129931091896,0.0006843129931091896,0.0006843129931091896,0.0054814261719338675,0.0625508948699464,0.0,0.0,0.0,0,0,0.0054814261719338675,0,0.0,0.0006843129931091896
