age,sex,n_s,s_rs,n_v,v_rv,rs_dead,rv_dead,s_dead,sv_dead,v_dead,n_dead,v_sv,s_sv,sv_s,sv_vrs,sv_rs,v_s,s_vrs,vrs_sv,vrs_s,vrs_rv,vrs_dead
21,female,0.004506533632949185,0.0,0.053533787334259,0.0,0.00038846196953197363,0.00038846196953197363,0.00038846196953197363,0.00038846196953197363,0.00038846196953197363,0.00038846196953197363,0.004506533632949185,0.053533787334259,0.0,0.0,0.0,0,0,0.004506533632949185,0,0.0,0.00038846196953197363
21,male,0.006555976127836496,0.0,0.05640079976091513,0.0,0.0006871469086983995,0.0006871469086983995,0.0006871469086983995,0.0006871469086983995,0.0006871469086983995,0.0006871469086983995,0.006555976127836496,0.05640079976091513,0.0,0.0,0.0,0,0,0.006555976127836496,0,0.0,0.0006871469086983995
22,female,0.0,0.0,0.04100601450274107,0.0,0.00038855370107837675,0.00038855370107837675,0.00038855370107837675,0.00038855370107837675,0.00038855370107837675,0.00038855370107837675,0.0,0.04100601450274107,0.0,0.0,0.0,0,0,0.0,0,0.0,0.00038855370107837675
22,male,0.0,0.0,0.04656000073063748,0.0,0.0006879679532576511,0.0006879679532576511,0.0006879679532576511,0.0006879679532576511,0.0006879679532576511,0.0006879679532576511,0.0,0.04656000073063748,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0006879679532576511
23,female,0.0,0.0,0.02564961163321198,0.0,0.00038820733616115605,0.00038820733616115605,0.00038820733616115605,0.00038820733616115605,0.00038820733616115605,0.00038820733616115605,0.0,0.02564961163321198,0.0,0.0,0.0,0,0,0.0,0,0.0,0.00038820733616115605
23,male,0.0,0.0,0.03377978364040897,0.0,0.0006880250355552408,0.0006880250355552408,0.0006880250355552408,0.0006880250355552408,0.0006880250355552408,0.0006880250355552408,0.0,0.03377978364040897,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0006880250355552408
24,female,0.0,0.0,0.007691682240854799,0.0,0.000386995768293903,0.000386995768293903,0.000386995768293903,0.000386995768293903,0.000386995768293903,0.000386995768293903,0.0,0.007691682240854799,0.0,0.0,0.0,0,0,0.0,0,0.0,0.000386995768293903
24,male,0.0,0.0,0.017906929946936115,0.0,0.0006864683752687114,0.0006864683752687114,0.0006864683752687114,0.0006864683752687114,0.0006864683752687114,0.0006864683752687114,0.0,0.017906929946936115,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0006864683752687114
25,female,0.0,0.04236493170138576,0.0,0.0038885973550684917,0.0003755914380787256,0.0003755914380787256,0.0003755914380787256,0.0003755914380787256,0.0003755914380787256,0.0003755914380787256,0.0,0.0,0.0038885973550684917,0.04236493170138576,0.0038885973550684917,0,0,0.0,0,0.0038885973550684917,0.0003755914380787256
25,male,0.0,0.031287067038829317,0.01259662601893738,0.0,0.0007461838926451789,0.0007461838926451789,0.0007461838926451789,0.0007461838926451789,0.0007461838926451789,0.0007461838926451789,0.0,0.01259662601893738,0.0,0.031287067038829317,0.0,0,0,0.0,0,0.0,0.0007461838926451789
26,female,0.0,0.03323174936029038,0.0,0.025864335716873035,0.0003745016378817297,0.0003745016378817297,0.0003745016378817297,0.0003745016378817297,0.0003745016378817297,0.0003745016378817297,0.0,0.0,0.025864335716873035,0.03323174936029038,0.025864335716873035,0,0,0.0,0,0.025864335716873035,0.0003745016378817297
26,male,0.0,0.01869151451191905,0.011549814479305181,0.0,0.0007451414411243869,0.0007451414411243869,0.0007451414411243869,0.0007451414411243869,0.0007451414411243869,0.0007451414411243869,0.0,0.011549814479305181,0.0,0.01869151451191905,0.0,0,0,0.0,0,0.0,0.0007451414411243869
27,female,0.0,0.03325816976683617,0.0023170104250406333,0.0,0.00037390976905620307,0.00037390976905620307,0.00037390976905620307,0.00037390976905620307,0.00037390976905620307,0.00037390976905620307,0.0,0.0023170104250406333,0.0,0.03325816976683617,0.0,0,0,0.0,0,0.0,0.00037390976905620307
27,male,0.0,0.018612396343567882,0.0178013957654229,0.0,0.0007446632776802524,0.0007446632776802524,0.0007446632776802524,0.0007446632776802524,0.0007446632776802524,0.0007446632776802524,0.0,0.0178013957654229,0.0,0.018612396343567882,0.0,0,0,0.0,0,0.0,0.0007446632776802524
28,female,0.0,0.03422092743290386,0.002652695962181043,0.0,0.00037342396848232695,0.00037342396848232695,0.00037342396848232695,0.00037342396848232695,0.00037342396848232695,0.00037342396848232695,0.0,0.002652695962181043,0.0,0.03422092743290386,0.0,0,0,0.0,0,0.0,0.00037342396848232695
28,male,0.0,0.02750045420102485,0.01707816588140897,0.0,0.00074398768370058,0.00074398768370058,0.00074398768370058,0.00074398768370058,0.00074398768370058,0.00074398768370058,0.0,0.01707816588140897,0.0,0.02750045420102485,0.0,0,0,0.0,0,0.0,0.00074398768370058
29,female,0.0,0.03425695782629834,0.0037049680166888,0.0,0.00037305003441862966,0.00037305003441862966,0.00037305003441862966,0.00037305003441862966,0.00037305003441862966,0.00037305003441862966,0.0,0.0037049680166888,0.0,0.03425695782629834,0.0,0,0,0.0,0,0.0,0.00037305003441862966
29,male,0.0,0.02747650397092387,0.016827032547415566,0.0,0.0007434124459229105,0.0007434124459229105,0.0007434124459229105,0.0007434124459229105,0.0007434124459229105,0.0007434124459229105,0.0,0.016827032547415566,0.0,0.02747650397092387,0.0,0,0,0.0,0,0.0,0.0007434124459229105
30,female,0.0,0.03974607872210644,0.005484408429438211,0.0,0.00039289624110930483,0.00039289624110930483,0.00039289624110930483,0.00039289624110930483,0.00039289624110930483,0.00039289624110930483,0.0,0.005484408429438211,0.0,0.03974607872210644,0.0,0,0,0.0,0,0.0,0.00039289624110930483
30,male,0.0,0.04379879428136311,0.016909226465518894,0.0,0.0008441462793093219,0.0008441462793093219,0.0008441462793093219,0.0008441462793093219,0.0008441462793093219,0.0008441462793093219,0.0,0.016909226465518894,0.0,0.04379879428136311,0.0,0,0,0.0,0,0.0,0.0008441462793093219
31,female,0.0,0.039847161436459874,0.030063125283724335,0.0,0.0003932427221086626,0.0003932427221086626,0.0003932427221086626,0.0003932427221086626,0.0003932427221086626,0.0003932427221086626,0.0,0.030063125283724335,0.0,0.039847161436459874,0.0,0,0,0.0,0,0.0,0.0003932427221086626
31,male,0.0,0.04403304381323961,0.026940142292651188,0.0,0.0008437651357951762,0.0008437651357951762,0.0008437651357951762,0.0008437651357951762,0.0008437651357951762,0.0008437651357951762,0.0,0.026940142292651188,0.0,0.04403304381323961,0.0,0,0,0.0,0,0.0,0.0008437651357951762
32,female,0.0,0.03739600016956683,0.011129964546813094,0.0,0.0003930652078252606,0.0003930652078252606,0.0003930652078252606,0.0003930652078252606,0.0003930652078252606,0.0003930652078252606,0.0,0.011129964546813094,0.0,0.03739600016956683,0.0,0,0,0.0,0,0.0,0.0003930652078252606
32,male,0.0,0.038517578657795384,0.018806258809413168,0.0,0.0008430784260135693,0.0008430784260135693,0.0008430784260135693,0.0008430784260135693,0.0008430784260135693,0.0008430784260135693,0.0,0.018806258809413168,0.0,0.038517578657795384,0.0,0,0,0.0,0,0.0,0.0008430784260135693
33,female,0.0,0.037462369584734874,0.012476087434621003,0.0,0.00039294722921454344,0.00039294722921454344,0.00039294722921454344,0.00039294722921454344,0.00039294722921454344,0.00039294722921454344,0.0,0.012476087434621003,0.0,0.037462369584734874,0.0,0,0,0.0,0,0.0,0.00039294722921454344
33,male,0.0,0.0386346389711601,0.01886414703376094,0.0,0.0008424767850221839,0.0008424767850221839,0.0008424767850221839,0.0008424767850221839,0.0008424767850221839,0.0008424767850221839,0.0,0.01886414703376094,0.0,0.0386346389711601,0.0,0,0,0.0,0,0.0,0.0008424767850221839
34,female,0.0,0.04059734253768285,0.01422156850350885,0.0,0.0003928666320367674,0.0003928666320367674,0.0003928666320367674,0.0003928666320367674,0.0003928666320367674,0.0003928666320367674,0.0,0.01422156850350885,0.0,0.04059734253768285,0.0,0,0,0.0,0,0.0,0.0003928666320367674
34,male,0.0,0.04302151069504345,0.019161261582952525,0.0,0.0008418415854502144,0.0008418415854502144,0.0008418415854502144,0.0008418415854502144,0.0008418415854502144,0.0008418415854502144,0.0,0.019161261582952525,0.0,0.04302151069504345,0.0,0,0,0.0,0,0.0,0.0008418415854502144
35,female,0.0,0.04069902815412283,0.016190654179032416,0.0,0.0006244375373513072,0.0006244375373513072,0.0006244375373513072,0.0006244375373513072,0.0006244375373513072,0.0006244375373513072,0.0,0.016190654179032416,0.0,0.04069902815412283,0.0,0,0,0.0,0,0.0,0.0006244375373513072
35,male,0.0,0.043208727750597656,0.01908695080758418,0.0,0.0010337366268019363,0.0010337366268019363,0.0010337366268019363,0.0010337366268019363,0.0010337366268019363,0.0010337366268019363,0.0,0.01908695080758418,0.0,0.043208727750597656,0.0,0,0,0.0,0,0.0,0.0010337366268019363
36,female,0.0,0.04672706615155049,0.016874751850249343,0.0,0.0006243434514058132,0.0006243434514058132,0.0006243434514058132,0.0006243434514058132,0.0006243434514058132,0.0006243434514058132,0.0,0.016874751850249343,0.0,0.04672706615155049,0.0,0,0,0.0,0,0.0,0.0006243434514058132
36,male,0.0,0.0519564920927711,0.016552278056637757,0.0,0.001032646374654072,0.001032646374654072,0.001032646374654072,0.001032646374654072,0.001032646374654072,0.001032646374654072,0.0,0.016552278056637757,0.0,0.0519564920927711,0.0,0,0,0.0,0,0.0,0.001032646374654072
37,female,0.0,0.04690509903524436,0.01562446751346313,0.0,0.000624194500373526,0.000624194500373526,0.000624194500373526,0.000624194500373526,0.000624194500373526,0.000624194500373526,0.0,0.01562446751346313,0.0,0.04690509903524436,0.0,0,0,0.0,0,0.0,0.000624194500373526
37,male,0.0,0.052305219244744336,0.017746877588644627,0.0,0.0010317423888698792,0.0010317423888698792,0.0010317423888698792,0.0010317423888698792,0.0010317423888698792,0.0010317423888698792,0.0,0.017746877588644627,0.0,0.052305219244744336,0.0,0,0,0.0,0,0.0,0.0010317423888698792
38,female,0.0,0.03091627429816445,0.014954778725226258,0.0,0.0006241725521466985,0.0006241725521466985,0.0006241725521466985,0.0006241725521466985,0.0006241725521466985,0.0006241725521466985,0.0,0.014954778725226258,0.0,0.03091627429816445,0.0,0,0,0.0,0,0.0,0.0006241725521466985
38,male,0.0,0.0376272295785224,0.017179630094202987,0.0,0.0010312597845984857,0.0010312597845984857,0.0010312597845984857,0.0010312597845984857,0.0010312597845984857,0.0010312597845984857,0.0,0.017179630094202987,0.0,0.0376272295785224,0.0,0,0,0.0,0,0.0,0.0010312597845984857
39,female,0.0,0.030913646386899776,0.014116120349103959,0.0,0.0006241218812825616,0.0006241218812825616,0.0006241218812825616,0.0006241218812825616,0.0006241218812825616,0.0006241218812825616,0.0,0.014116120349103959,0.0,0.030913646386899776,0.0,0,0,0.0,0,0.0,0.0006241218812825616
39,male,0.0,0.037700785328406455,0.01655842443203717,0.0,0.0010307737745379093,0.0010307737745379093,0.0010307737745379093,0.0010307737745379093,0.0010307737745379093,0.0010307737745379093,0.0,0.01655842443203717,0.0,0.037700785328406455,0.0,0,0,0.0,0,0.0,0.0010307737745379093
40,female,0.0,0.03091101665629858,0.013103550755079529,0.0,0.0009258595809079585,0.0009258595809079585,0.0009258595809079585,0.0009258595809079585,0.0009258595809079585,0.0009258595809079585,0.0,0.013103550755079529,0.0,0.03091101665629858,0.0,0,0,0.0,0,0.0,0.0009258595809079585
40,male,0.0,0.0377734217246663,0.01588177269844059,0.0,0.0015046703447921471,0.0015046703447921471,0.0015046703447921471,0.0015046703447921471,0.0015046703447921471,0.0015046703447921471,0.0,0.01588177269844059,0.0,0.0377734217246663,0.0,0,0,0.0,0,0.0,0.0015046703447921471
41,female,0.0,0.019799873395536058,0.006143923890481392,0.0,0.0009255647456721508,0.0009255647456721508,0.0009255647456721508,0.0009255647456721508,0.0009255647456721508,0.0009255647456721508,0.0,0.006143923890481392,0.0,0.019799873395536058,0.0,0,0,0.0,0,0.0,0.0009255647456721508
41,male,0.0,0.03173710414628671,0.012232224278066434,0.0,0.0015039226618162654,0.0015039226618162654,0.0015039226618162654,0.0015039226618162654,0.0015039226618162654,0.0015039226618162654,0.0,0.012232224278066434,0.0,0.03173710414628671,0.0,0,0,0.0,0,0.0,0.0015039226618162654
42,female,0.0,0.019745499642849332,0.010405200558047185,0.0,0.0009255429056557401,0.0009255429056557401,0.0009255429056557401,0.0009255429056557401,0.0009255429056557401,0.0009255429056557401,0.0,0.010405200558047185,0.0,0.019745499642849332,0.0,0,0,0.0,0,0.0,0.0009255429056557401
42,male,0.0,0.031743047175963914,0.014091207171036579,0.0,0.001503425714993611,0.001503425714993611,0.001503425714993611,0.001503425714993611,0.001503425714993611,0.001503425714993611,0.0,0.014091207171036579,0.0,0.031743047175963914,0.0,0,0,0.0,0,0.0,0.001503425714993611
43,female,0.0,0.019689955346655297,0.00948049736723041,0.0,0.0008939683621524135,0.0008764395707376603,0.0012918719272673113,0.0012918719272673113,0.0008764395707376603,0.0008764395707376603,0.0,0.00948049736723041,0.0,0.019689955346655297,0.0,0,0,0.0,0,0.0,0.0008764395707376603
43,male,0.0,0.03174898283096226,0.013407272557703636,0.0,0.0014622295143440387,0.0013846870400985214,0.0022182686382378313,0.0022182686382378313,0.0013846870400985214,0.0013846870400985214,0.0,0.013407272557703636,0.0,0.03174898283096226,0.0,0,0,0.0,0,0.0,0.0013846870400985214
44,female,0.0,0.019633222995482556,0.008483986457995564,0.0,0.0008634297362657349,0.0008302209002555142,0.0016172703136977417,0.0016172703136977417,0.0008302209002555142,0.0008302209002555142,0.0,0.008483986457995564,0.0,0.019633222995482556,0.0,0,0,0.0,0,0.0,0.0008302209002555142
44,male,0.0,0.03175491111726766,0.012718462533133969,0.0,0.0014266042749224062,0.00128291751341943,0.0028275501995764234,0.0028275501995764234,0.00128291751341943,0.00128291751341943,0.0,0.012718462533133969,0.0,0.03175491111726766,0.0,0,0,0.0,0,0.0,0.00128291751341943
45,female,0.0,0.01957528519657138,0.006222773026093934,0.0,0.001304715089368636,0.0012308632918572038,0.0029811508928781474,0.0029811508928781474,0.0012308632918572038,0.0012308632918572038,0.0,0.006222773026093934,0.0,0.01957528519657138,0.0,0,0,0.0,0,0.0,0.0012308632918572038
45,male,0.0,0.03176083204086372,0.011860229638886315,0.0,0.002059580799018686,0.001763339725187231,0.004947931268875371,0.004947931268875371,0.001763339725187231,0.001763339725187231,0.0,0.011860229638886315,0.0,0.03176083204086372,0.0,0,0,0.0,0,0.0,0.001763339725187231
46,female,0.0,0.028450615947040108,0.0021216196175113363,0.0,0.0012633882811966845,0.001169803964071004,0.0033877522799496277,0.0033877522799496277,0.001169803964071004,0.001169803964071004,0.0,0.0021216196175113363,0.0,0.028450615947040108,0.0,0,0,0.0,0,0.0,0.001169803964071004
46,male,0.0,0.03598381052316115,0.008815748348630501,0.0,0.0020217497695847364,0.0016517563476999481,0.005629185632961423,0.005629185632961423,0.0016517563476999481,0.0016517563476999481,0.0,0.008815748348630501,0.0,0.03598381052316115,0.0,0,0,0.0,0,0.0,0.0016517563476999481
47,female,0.0,0.028432410269725126,0.00462188372742651,0.0,0.0012256686959793558,0.0011142442690721416,0.0037550031867731176,0.0037550031867731176,0.0011142442690721416,0.0011142442690721416,0.0,0.00462188372742651,0.0,0.028432410269725126,0.0,0,0,0.0,0,0.0,0.0011142442690721416
47,male,0.0,0.03603217533543407,0.010390070215257688,0.0,0.001990189323258022,0.0015548354087953297,0.006234889989269272,0.006234889989269272,0.0015548354087953297,0.0015548354087953297,0.0,0.010390070215257688,0.0,0.03603217533543407,0.0,0,0,0.0,0,0.0,0.0015548354087953297
48,female,0.0,0.028414123890525916,0.00473006836101921,0.0,0.0012856098179776082,0.0011006933373095959,0.0036719129732648115,0.0036719129732648115,0.0011006933373095959,0.0011006933373095959,0.0,0.00473006836101921,0.0,0.028414123890525916,0.0,0,0,0.0,0,0.0,0.0011006933373095959
48,male,0.0,0.03608009905993845,0.009499615884190873,0.0,0.0019631422163037654,0.001563011318713189,0.006286431523864447,0.006286431523864447,0.001563011318713189,0.001563011318713189,0.0,0.009499615884190873,0.0,0.03608009905993845,0.0,0,0,0.0,0,0.0,0.001563011318713189
49,female,0.0,0.028395756571371146,0.0050333764896838,0.0,0.0013441176237373722,0.0010874738056127608,0.0035908385061333356,0.0035908385061333356,0.0010874738056127608,0.0010874738056127608,0.0,0.0050333764896838,0.0,0.028395756571371146,0.0,0,0,0.0,0,0.0,0.0010874738056127608
