year,age,sex,smoking,vaping
2021,0,female,0.0,0.0
2021,0,male,0.0,0.0
2021,1,female,0.0,0.0
2021,1,male,0.0,0.0
2021,2,female,0.0,0.0
2021,2,male,0.0,0.0
2021,3,female,0.0,0.0
2021,3,male,0.0,0.0
2021,4,female,0.0,0.0
2021,4,male,0.0,0.0
2021,5,female,0.0,0.0
2021,5,male,0.0,0.0
2021,6,female,0.0,0.0
2021,6,male,0.0,0.0
2021,7,female,0.0,0.0
2021,7,male,0.0,0.0
2021,8,female,0.0,0.0
2021,8,male,0.0,0.0
2021,9,female,0.0,0.0
2021,9,male,0.0,0.0
2021,10,female,0.0,0.0
2021,10,male,0.0,0.0
2021,11,female,0.0,0.0
2021,11,male,0.0,0.0
2021,12,female,0.0,0.0
2021,12,male,0.0,0.0
2021,13,female,0.0,0.0
2021,13,male,0.0,0.0
2021,14,female,0.0,0.0
2021,14,male,0.0,0.0
2021,15,female,0.01693693040433178,0.0773874776403411
2021,15,male,0.0166643482052671,0.0659739675762492
2021,16,female,0.027731410596552177,0.09999988763144128
2021,16,male,0.02776555826624808,0.09094632830953756
2021,17,female,0.0450900293349293,0.1178664831799649
2021,17,male,0.045916689459652556,0.11067757629633328
2021,18,female,0.06589245732204517,0.14508062497528124
2021,18,male,0.06980817085673274,0.13920871742413837
2021,19,female,0.09533400266558256,0.18334252941747597
2021,19,male,0.10476587306344416,0.17900027359300325
2021,20,female,0.1072135465509732,0.19741812014958882
2021,20,male,0.11944706354392716,0.19536346463065857
2021,21,female,0.12037642496256723,0.2023478344315548
2021,21,male,0.1358733296536095,0.20359504520837696
2021,22,female,0.123804381750301,0.19813167226337383
2021,22,male,0.1415953906552686,0.2036950153261583
2021,23,female,0.12731582727867632,0.18476963364504598
2021,23,male,0.14751728862357114,0.1956633749840026
2021,24,female,0.12408162994035257,0.16226171857657118
2021,24,male,0.1471068630083638,0.17950012418190991
2021,25,female,0.12091820700183585,0.13716857059685159
2021,25,male,0.14669738278758904,0.16260129242463045
2021,26,female,0.12021521585621212,0.1109675492490046
2021,26,male,0.15022481490823944,0.14781109706968626
2021,27,female,0.11951575608904677,0.09680464185045051
2021,27,male,0.15382177630544058,0.1393280753488103
2021,28,female,0.11858140305753144,0.0852852865852382
2021,28,male,0.1545552213921654,0.13194674044053714
2021,29,female,0.11765337856563,0.07640948345336768
2021,29,male,0.15529152184876963,0.12566709234486684
2021,30,female,0.11536475158367229,0.07017723245483891
2021,30,male,0.1506332794969928,0.12048913106179926
2021,31,female,0.11311493638182704,0.08035625127345185
2021,31,male,0.14609060292486498,0.12156337258358191
2021,32,female,0.11151834099790996,0.07699040692687262
2021,32,male,0.143447487352202,0.11768319969631383
2021,33,female,0.10994148764921141,0.07505776590626814
2021,33,male,0.1408443043631063,0.11445192100694551
2021,34,female,0.1076648648008943,0.07455832821163841
2021,34,male,0.1370001309724627,0.11186953651547692
2021,35,female,0.1054298010597466,0.07536919741947849
2021,35,male,0.13324460747241396,0.10958735313265446
2021,36,female,0.10190300954852358,0.07639673117241316
2021,36,male,0.1271460207886784,0.10614573802488124
2021,37,female,0.09848120693572061,0.07643365508354691
2021,37,male,0.12128750590444196,0.10368520093002925
2021,38,female,0.0985577773187239,0.07595210012202254
2021,38,male,0.1195446581373965,0.10109176221677468
2021,39,female,0.09863440072255565,0.07495206628784003
2021,39,male,0.11782349626512052,0.09836542188511758
2021,40,female,0.09871107717379872,0.07343355358099933
2021,40,male,0.11612384673427771,0.09550617993505789
2021,41,female,0.10112719088896348,0.06807276328656862
